passport_id,file,key_generation_time_s,recursive_snark_creation_time_s,recursive_snark_verify_time_s,recursive_snark_verify_time_ms,compressed_snark_prove_time_s,compressed_snark_verify_time_s,compressed_snark_verify_time_ms,constraints_primary,variables_primary,constraints_secondary,variables_secondary,peak_memory_kb,peak_memory_mb,peak_memory_gb
0000,passport_0000_output.log,28.576486843,1190.833422077,1.596634548,1596.634548,53.14977675,2.106095646,2106.0956459999998,559724,544360,10347,10329,,,
0001,passport_0001_output.log,31.67624996,1208.21668154,1.392728272,1392.728272,53.229953891,2.26672614,2266.7261399999998,559724,544360,10347,10329,,,
0002,passport_0002_output.log,31.404675592,1201.331590115,1.489985345,1489.985345,52.762136541,2.018498507,2018.4985069999998,559724,544360,10347,10329,,,
0003,passport_0003_output.log,31.988641793,1216.618894865,1.559256252,1559.256252,51.588335649,2.249931017,2249.9310170000003,559724,544360,10347,10329,,,
0004,passport_0004_output.log,31.601508078,1204.825101085,1.694412084,1694.412084,52.643145408,2.417836491,2417.836491,559724,544360,10347,10329,,,
0005,passport_0005_output.log,31.528875019,1205.675924803,1.489624421,1489.624421,54.792570355,2.227104343,2227.104343,559724,544360,10347,10329,,,
0006,passport_0006_output.log,31.912763188,1206.156015849,1.42310073,1423.10073,53.137937786,2.029647075,2029.647075,559724,544360,10347,10329,,,
0007,passport_0007_output.log,31.289629993,1208.665442393,1.374057696,1374.0576959999999,51.881578114,2.101969391,2101.969391,559724,544360,10347,10329,,,
0008,passport_0008_output.log,31.345693657,1207.110564414,1.393338922,1393.3389220000001,54.428535585,1.951864354,1951.864354,559724,544360,10347,10329,,,
0009,passport_0009_output.log,31.556834669,1202.993529787,1.469641406,1469.641406,53.379990906,2.035956601,2035.956601,559724,544360,10347,10329,,,
0010,passport_0010_output.log,31.299974145,1201.040351229,1.410699526,1410.6995259999999,53.270960522,2.195806941,2195.806941,559724,544360,10347,10329,,,
0011,passport_0011_output.log,32.043778813,1211.310161103,1.57811787,1578.11787,52.288710565,2.365560709,2365.560709,559724,544360,10347,10329,,,
0012,passport_0012_output.log,31.531756361,1216.052200168,1.443853126,1443.853126,54.848195208,2.008993648,2008.9936480000001,559724,544360,10347,10329,,,
0013,passport_0013_output.log,30.836414706,1208.58681183,1.391984315,1391.984315,53.346262522,2.061469475,2061.469475,559724,544360,10347,10329,,,
0014,passport_0014_output.log,31.957115175,1211.880596303,1.464206965,1464.206965,53.581440934,1.946972275,1946.972275,559724,544360,10347,10329,,,
0015,passport_0015_output.log,31.325802784,1223.470630411,1.398240584,1398.2405840000001,52.848192706,2.213446687,2213.4466869999997,559724,544360,10347,10329,,,
0016,passport_0016_output.log,31.68957171,1218.461257742,1.360829303,1360.829303,54.068762433,2.029465052,2029.465052,559724,544360,10347,10329,,,
0017,passport_0017_output.log,31.221839781,1211.13327961,1.456553581,1456.5535810000001,53.703538187,2.046406964,2046.406964,559724,544360,10347,10329,,,
0018,passport_0018_output.log,31.545838402,1210.84928581,1.527968425,1527.968425,53.353139687,2.022200087,2022.200087,559724,544360,10347,10329,,,
0019,passport_0019_output.log,31.20568117,1202.403209517,1.528734143,1528.7341430000001,60.915800809,2.29139415,2291.39415,559724,544360,10347,10329,,,
0020,passport_0020_output.log,33.023875892,1220.390686884,1.436965664,1436.9656639999998,53.276607992,2.172760801,2172.760801,559724,544360,10347,10329,,,
0021,passport_0021_output.log,31.223306962,1225.880740433,1.466321029,1466.321029,53.512919064,2.034133309,2034.133309,559724,544360,10347,10329,,,
0022,passport_0022_output.log,31.591331706,1235.818226156,1.567591246,1567.5912460000002,53.3207313,2.176575011,2176.5750110000004,559724,544360,10347,10329,,,
0023,passport_0023_output.log,31.749539188,1219.177234883,1.408618697,1408.618697,54.733230995,2.028394095,2028.3940949999999,559724,544360,10347,10329,,,
0024,passport_0024_output.log,31.992170068,1207.48819365,1.608578385,1608.578385,55.370170765,2.00715114,2007.15114,559724,544360,10347,10329,,,
0025,passport_0025_output.log,32.363193724,1205.542758172,1.377594983,1377.594983,52.518977735,1.99137612,1991.37612,559724,544360,10347,10329,,,
