passport_id,file,key_generation_time_s,recursive_snark_creation_time_s,recursive_snark_verify_time_s,recursive_snark_verify_time_ms,compressed_snark_prove_time_s,compressed_snark_verify_time_s,compressed_snark_verify_time_ms,constraints_primary,variables_primary,constraints_secondary,variables_secondary,peak_memory_kb,peak_memory_mb,peak_memory_gb
0000,passport_0000_output.log,12.81291042,688.626239265,0.388020599,388.020599,,,,559724,544360,10347,10329,2475624,2417.6,2.361
0001,passport_0001_output.log,12.798015707,,,,,,,559724,544360,10347,10329,2447152,2389.8,2.334
0002,passport_0002_output.log,12.667622578,,,,,,,559724,544360,10347,10329,2458688,2401.06,2.345
0003,passport_0003_output.log,12.822082899,,,,,,,559724,544360,10347,10329,2491744,2433.34,2.376
0004,passport_0004_output.log,12.772429785,,,,,,,559724,544360,10347,10329,2456080,2398.52,2.342
0005,passport_0005_output.log,12.818004575,,,,,,,559724,544360,10347,10329,2476640,2418.59,2.362
0006,passport_0006_output.log,12.79111175,,,,,,,559724,544360,10347,10329,2459044,2401.41,2.345
0007,passport_0007_output.log,12.829033659,692.206657324,0.400891904,400.891904,,,,559724,544360,10347,10329,2478284,2420.2,2.363
0008,passport_0008_output.log,12.79983291,685.001947651,0.382138889,382.138889,,,,559724,544360,10347,10329,2492216,2433.8,2.377
0009,passport_0009_output.log,18.215058647,,,,,,,559724,544360,10347,10329,2492148,2433.74,2.377
0010,passport_0010_output.log,12.801009205,,,,,,,559724,544360,10347,10329,2419036,2362.34,2.307
0011,passport_0011_output.log,12.827151475,,,,,,,559724,544360,10347,10329,2491348,2432.96,2.376
0012,passport_0012_output.log,12.674978409,,,,,,,559724,544360,10347,10329,2466760,2408.95,2.352
0013,passport_0013_output.log,12.829117574,,,,,,,559724,544360,10347,10329,2475520,2417.5,2.361
0014,passport_0014_output.log,12.804881111,,,,,,,559724,544360,10347,10329,2473272,2415.3,2.359
0015,passport_0015_output.log,12.815525216,692.200204678,0.40383796699999996,403.837967,,,,559724,544360,10347,10329,2464836,2407.07,2.351
0016,passport_0016_output.log,12.821608237,,,,,,,559724,544360,10347,10329,2445756,2388.43,2.332
0017,passport_0017_output.log,12.741205434,,,,,,,559724,544360,10347,10329,2491728,2433.33,2.376
0018,passport_0018_output.log,12.868802782,,,,,,,559724,544360,10347,10329,2470112,2412.22,2.356
0019,passport_0019_output.log,12.776621037,,,,,,,559724,544360,10347,10329,2468436,2410.58,2.354
0020,passport_0020_output.log,18.272136561,,,,,,,559724,544360,10347,10329,2421024,2364.28,2.309
0021,passport_0021_output.log,12.681063714,692.884792298,0.400077788,400.077788,,,,559724,544360,10347,10329,2457116,2399.53,2.343
0022,passport_0022_output.log,12.837544038,,,,,,,559724,544360,10347,10329,2480396,2422.26,2.365
0023,passport_0023_output.log,12.732870007,,,,,,,559724,544360,10347,10329,2472960,2415.0,2.358
0024,passport_0024_output.log,18.123473743,,,,,,,559724,544360,10347,10329,2424896,2368.06,2.313
0025,passport_0025_output.log,12.602366747,685.5303667,0.373987071,373.987071,17.423201534,0.849502465,849.502465,559724,544360,10347,10329,2771868,2706.9,2.643
0026,passport_0026_output.log,12.77378524,,,,,,,559724,544360,10347,10329,2455488,2397.94,2.342
0027,passport_0027_output.log,12.738517515,,,,,,,559724,544360,10347,10329,2492208,2433.8,2.377
0028,passport_0028_output.log,12.969404795,,,,,,,559724,544360,10347,10329,2466056,2408.26,2.352
0029,passport_0029_output.log,12.82395147,686.737096208,0.41171878900000003,411.718789,,,,559724,544360,10347,10329,2481864,2423.7,2.367
0030,passport_0030_output.log,17.804266482,689.337956268,0.369746709,369.746709,,,,559724,544360,10347,10329,2491928,2433.52,2.376
0031,passport_0031_output.log,12.750412028,689.126713718,0.422775872,422.775872,,,,559724,544360,10347,10329,2485552,2427.3,2.37
0032,passport_0032_output.log,17.978432201,,,,,,,559724,544360,10347,10329,2471516,2413.59,2.357
0033,passport_0033_output.log,12.844109163,,,,,,,559724,544360,10347,10329,2459144,2401.51,2.345
0034,passport_0034_output.log,18.160773419,,,,,,,559724,544360,10347,10329,2434440,2377.38,2.322
0035,passport_0035_output.log,12.701188063,,,,,,,559724,544360,10347,10329,2460032,2402.38,2.346
0036,passport_0036_output.log,12.856891574,,,,,,,559724,544360,10347,10329,2473948,2415.96,2.359
0037,passport_0037_output.log,12.978635475,,,,,,,559724,544360,10347,10329,2475808,2417.78,2.361
0038,passport_0038_output.log,12.776092557,645.235546069,0.366971657,366.971657,15.128385706,0.703156565,703.156565,559724,544360,10347,10329,2650280,2588.16,2.528
0039,passport_0039_output.log,11.523788651,638.225177572,0.43409287,434.09287,14.885734824,0.694907819,694.907819,559724,544360,10347,10329,2777976,2712.87,2.649
0040,passport_0040_output.log,11.552112007,665.674665858,0.360325696,360.325696,15.032240309,0.68532175,685.32175,559724,544360,10347,10329,2716500,2652.83,2.591
0041,passport_0041_output.log,11.531080461,629.601517018,0.42460614500000005,424.606145,15.122015289,0.709515816,709.515816,559724,544360,10347,10329,2814192,2748.23,2.684
0042,passport_0042_output.log,11.543411543,637.006632629,0.35961469599999996,359.614696,15.159579282,0.688388897,688.388897,559724,544360,10347,10329,2701292,2637.98,2.576
0043,passport_0043_output.log,11.523729226,639.462896979,0.43188438100000004,431.884381,15.058694064,0.682944359,682.944359,559724,544360,10347,10329,2764972,2700.17,2.637
0044,passport_0044_output.log,11.508424945,666.241751989,0.36874085100000004,368.740851,15.160772825,0.6835289360000001,683.528936,559724,544360,10347,10329,2734056,2669.98,2.607
0045,passport_0045_output.log,11.520129285,640.89749024,0.36197432900000004,361.974329,14.947887142,0.690970164,690.970164,559724,544360,10347,10329,2735548,2671.43,2.609
0046,passport_0046_output.log,11.497745729,634.211302538,0.393820599,393.820599,14.944406939,0.677364867,677.364867,559724,544360,10347,10329,2791084,2725.67,2.662
0047,passport_0047_output.log,11.524403867,636.537775365,0.366984041,366.984041,15.191624306,0.6828125770000001,682.812577,559724,544360,10347,10329,2722388,2658.58,2.596
0048,passport_0048_output.log,11.551508328,634.960438876,0.358867729,358.867729,15.065124016,0.687378443,687.378443,559724,544360,10347,10329,2755308,2690.73,2.628
0049,passport_0049_output.log,11.535320938,633.719181129,0.414891164,414.891164,15.103979229,0.696287757,696.287757,559724,544360,10347,10329,2813792,2747.84,2.683
0050,passport_0050_output.log,11.505975917,656.300454275,0.430916616,430.916616,15.016550302,0.658824219,658.824219,559724,544360,10347,10329,2740588,2676.36,2.614
0051,passport_0051_output.log,11.516023555,637.026926882,0.361954669,361.954669,14.893710613,0.695965736,695.965736,559724,544360,10347,10329,2737844,2673.68,2.611
0052,passport_0052_output.log,11.529098359,630.7292668,0.35841459400000003,358.414594,15.390915868,0.702195887,702.195887,559724,544360,10347,10329,2791788,2726.36,2.662
0053,passport_0053_output.log,11.528970769,634.820095239,0.389029854,389.029854,15.122252855,0.679252335,679.252335,559724,544360,10347,10329,2795204,2729.69,2.666
0054,passport_0054_output.log,11.503795834,658.0667908,0.424093399,424.093399,15.249158077,0.6878480520000001,687.848052,559724,544360,10347,10329,2691784,2628.7,2.567
0055,passport_0055_output.log,11.521401562,650.43408576,0.36671759200000004,366.717592,14.938713762,0.687840627,687.840627,559724,544360,10347,10329,2757164,2692.54,2.629
0056,passport_0056_output.log,11.511373608,646.623976879,0.419079504,419.079504,15.046958642,0.685870557,685.870557,559724,544360,10347,10329,2700304,2637.02,2.575
0057,passport_0057_output.log,11.529838845,630.148518138,0.41383439099999997,413.834391,14.990404663,0.680370218,680.370218,559724,544360,10347,10329,2780460,2715.29,2.652
0058,passport_0058_output.log,11.514516098,636.898938459,0.362900846,362.900846,15.085359563,0.687626766,687.626766,559724,544360,10347,10329,2847568,2780.83,2.716
0059,passport_0059_output.log,12.08779111,634.160285899,0.357922128,357.922128,14.719311434,0.677980607,677.980607,559724,544360,10347,10329,2788440,2723.09,2.659
