passport_id,file,key_generation_time_s,recursive_snark_creation_time_s,recursive_snark_verify_time_s,recursive_snark_verify_time_ms,compressed_snark_prove_time_s,compressed_snark_verify_time_s,compressed_snark_verify_time_ms,constraints_primary,variables_primary,constraints_secondary,variables_secondary,peak_memory_kb,peak_memory_mb,peak_memory_gb
0000,passport_0000_output.log,18.360843946,426.999945948,1.47933786,1479.33786,53.588238027,2.079807937,2079.807937,551514,536148,10347,10329,,,
0001,passport_0001_output.log,20.561073166,433.661495128,1.716115805,1716.1158050000001,53.314601694,1.97898129,1978.98129,551514,536148,10347,10329,,,
0002,passport_0002_output.log,18.397909964,421.285205578,1.720716858,1720.716858,54.423068928,2.011112542,2011.1125419999998,551514,536148,10347,10329,,,
0003,passport_0003_output.log,19.352572438,421.776666368,1.498454732,1498.454732,51.508742317,1.938331409,1938.331409,551514,536148,10347,10329,,,
0004,passport_0004_output.log,18.065965685,427.162932104,1.534318265,1534.318265,53.300771797,1.94304793,1943.0479300000002,551514,536148,10347,10329,,,
0005,passport_0005_output.log,18.152186296,424.232167455,1.485271068,1485.271068,53.854230002,2.006194418,2006.1944180000003,551514,536148,10347,10329,,,
0006,passport_0006_output.log,18.279120047,427.858616181,1.60054114,1600.54114,56.876208465,4.374305304,4374.3053039999995,551514,536148,10347,10329,,,
0007,passport_0007_output.log,19.342380082,449.143643792,1.291206884,1291.206884,53.286895954,2.065945013,2065.945013,551514,536148,10347,10329,,,
0008,passport_0008_output.log,18.08719008,424.149040873,1.818137717,1818.1377169999998,50.875655147,2.243190736,2243.190736,551514,536148,10347,10329,,,
0009,passport_0009_output.log,17.701854702,441.755507211,1.603123259,1603.123259,53.223876576,2.256773778,2256.7737779999998,551514,536148,10347,10329,,,
0010,passport_0010_output.log,18.04081574,436.524874098,1.414317002,1414.317002,51.474992146,2.035295683,2035.2956830000003,551514,536148,10347,10329,,,
0011,passport_0011_output.log,17.300370198,438.065608786,1.344790029,1344.790029,53.178844801,2.002897404,2002.897404,551514,536148,10347,10329,,,
0012,passport_0012_output.log,18.352295923,428.777559006,1.425424126,1425.4241260000001,52.518713243,2.187121163,2187.1211630000003,551514,536148,10347,10329,,,
0013,passport_0013_output.log,19.202939039,430.430187826,1.316864747,1316.8647469999999,51.17998719,1.88008133,1880.0813300000002,551514,536148,10347,10329,,,
0014,passport_0014_output.log,18.140419436,431.808937663,1.532078076,1532.078076,52.407955265,2.004639504,2004.639504,551514,536148,10347,10329,,,
0015,passport_0015_output.log,18.891300546,429.368869754,1.338951846,1338.9518460000002,52.77122433,2.119003835,2119.003835,551514,536148,10347,10329,,,
0016,passport_0016_output.log,18.055343628,430.919207342,1.802333948,1802.333948,52.1226544,2.135398712,2135.398712,551514,536148,10347,10329,,,
0017,passport_0017_output.log,19.055214268,432.432016471,1.489208092,1489.2080919999999,52.513716302,1.99699804,1996.99804,551514,536148,10347,10329,,,
0018,passport_0018_output.log,18.642859306,427.340127795,1.728951343,1728.9513430000002,53.904924417,2.068101627,2068.101627,551514,536148,10347,10329,,,
0019,passport_0019_output.log,18.435014125,429.096215364,1.450612202,1450.612202,53.158685672,2.166403915,2166.403915,551514,536148,10347,10329,,,
0020,passport_0020_output.log,18.63107321,425.865107962,1.373227189,1373.2271890000002,52.108292316,1.962088897,1962.088897,551514,536148,10347,10329,,,
0021,passport_0021_output.log,18.177885263,437.780534912,1.242160252,1242.160252,51.98231208,1.987003836,1987.0038359999999,551514,536148,10347,10329,,,
0022,passport_0022_output.log,17.807931739,432.340105213,1.623023418,1623.023418,54.392019456,2.007899452,2007.899452,551514,536148,10347,10329,,,
0023,passport_0023_output.log,18.28383719,426.949059317,1.75152113,1751.52113,53.611459488,2.168052617,2168.052617,551514,536148,10347,10329,,,
